O0,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11
5.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0
5.0,5.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0
3.0,5.0,5.0,4.0,4.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0
5.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0
5.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0
4.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,4.0,4.0
5.0,5.0,3.0,3.0,5.0,4.0,3.0,2.0,1.0,1.0,3.0,1.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
5.0,5.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0
5.0,5.0,3.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0
3.0,2.0,3.0,3.0,1.0,2.0,2.0,5.0,1.0,1.0,5.0,4.0
5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0
5.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0
5.0,4.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0
4.0,5.0,3.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0
3.0,1.0,3.0,3.0,1.0,1.0,5.0,5.0,4.0,3.0,5.0,5.0
5.0,4.0,4.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0
3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0
5.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0
5.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0
3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0
5.0,5.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0
5.0,4.0,3.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0
5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0
5.0,4.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0
5.0,4.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0
5.0,5.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,3.0,3.0,5.0,5.0,4.0,1.0,1.0,1.0,4.0,1.0
5.0,5.0,3.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0
5.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0
5.0,4.0,5.0,5.0,4.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0
5.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,1.0,1.0,3.0,3.0
5.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0
5.0,5.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
5.0,4.0,3.0,5.0,5.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0
5.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0
5.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0,1.0,1.0,3.0,2.0
5.0,4.0,3.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0
5.0,5.0,3.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,2.0
5.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0
5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0
5.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0
5.0,4.0,4.0,4.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0
4.0,5.0,3.0,3.0,5.0,5.0,3.0,2.0,1.0,2.0,3.0,2.0
5.0,5.0,5.0,5.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0
3.0,4.0,1.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0
5.0,5.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0
5.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0
3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0
3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,5.0,4.0
5.0,5.0,4.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0
5.0,4.0,4.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0
5.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0
5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,4.0,3.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0
5.0,5.0,3.0,3.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0
5.0,5.0,3.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0
3.0,5.0,3.0,5.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0
5.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0
5.0,5.0,4.0,4.0,4.0,5.0,2.0,2.0,1.0,1.0,4.0,2.0
5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,4.0,2.0
5.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0
5.0,4.0,4.0,4.0,5.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
5.0,5.0,4.0,4.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0
5.0,5.0,3.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0
5.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0
5.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0
5.0,5.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,4.0,2.0
5.0,5.0,4.0,4.0,4.0,5.0,2.0,1.0,1.0,1.0,4.0,1.0
5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
